Date,Open,High,Low,Close,Volume
2024-05-07 00:00:00+09:00,226388.1465807175,228387.15891255607,221890.36883408073,222889.875,525423
2024-05-08 00:00:00+09:00,221890.36883408073,223889.3811659193,218891.85033632288,222889.875,391153
2024-05-09 00:00:00+09:00,220890.862457483,221890.368622449,216393.08471513606,220391.109375,465377
2024-05-10 00:00:00+09:00,219891.3591954023,222390.1246408046,217392.59375,217392.59375,316039
2024-05-13 00:00:00+09:00,217892.34308194774,218891.8492428741,209896.29379453682,210396.046875,459634
2024-05-14 00:00:00+09:00,210396.046875,215393.57767963182,209896.29379453682,210396.046875,451281
2024-05-16 00:00:00+09:00,210895.79738136573,216393.08119936343,207897.2789351852,215893.328125,551906
2024-05-17 00:00:00+09:00,216393.08720588236,219891.35882352942,212395.0625,212395.0625,433809
2024-05-20 00:00:00+09:00,213894.31866197183,214893.82482394367,210396.04709507042,212894.8125,267962
2024-05-21 00:00:00+09:00,211395.54914004914,211895.30221130222,202399.99385749386,203399.5,560921
2024-05-22 00:00:00+09:00,206398.03113511027,208896.79664522057,202899.75942095587,203899.265625,308921
2024-05-23 00:00:00+09:00,201900.24691358025,204898.76543209876,199701.33333333334,202400.0,366376
2024-05-24 00:00:00+09:00,199801.28218176606,201400.49204415138,195703.30690940368,196103.109375,595244
2024-05-27 00:00:00+09:00,196702.809352518,209396.53739508393,193504.38968824942,208397.03125,929113
2024-05-28 00:00:00+09:00,206897.7735555136,206897.7735555136,198401.97125975578,198501.921875,682776
2024-05-29 00:00:00+09:00,196203.06051666668,197202.56668333334,187407.40625,187407.40625,1007809
2024-05-30 00:00:00+09:00,185208.4969052745,190305.97847147472,183909.13885898818,185708.25,751107
2024-05-31 00:00:00+09:00,186208.00037571875,191205.53125,181410.37073640877,191205.53125,1058322
2024-06-03 00:00:00+09:00,189306.46486037233,191905.18085106384,187407.403174867,187907.15625,582389
2024-06-04 00:00:00+09:00,187007.6028618593,194503.89907492153,186907.65224568514,191105.578125,706551
2024-06-05 00:00:00+09:00,191405.42918719212,207897.28078817733,190305.97241379312,202899.75,1100996
2024-06-07 00:00:00+09:00,207897.28828828828,223889.38738738737,201900.25112612612,221890.375,1568844
2024-06-10 00:00:00+09:00,218891.84969547563,221390.61510295823,208896.78806554523,215393.578125,949785
2024-06-11 00:00:00+09:00,216393.08094262297,221390.6116803279,211395.55020491805,213394.5625,625302
2024-06-12 00:00:00+09:00,211395.55925566825,215393.5840170048,205398.5221136635,209396.546875,543357
2024-06-13 00:00:00+09:00,213394.57479814594,214394.0810032895,205898.2782595694,208896.796875,777900
2024-06-14 00:00:00+09:00,208896.7867051122,208896.7867051122,199501.42883416457,200400.984375,699689
2024-06-17 00:00:00+09:00,195203.55896493213,200900.74424962292,193704.2996794872,198801.78125,547470
2024-06-18 00:00:00+09:00,200900.74903770877,202899.76146594467,191205.5387607646,191505.390625,710704
2024-06-19 00:00:00+09:00,189406.42766293147,196502.9217864503,188406.92144835138,194004.15625,724891
2024-06-20 00:00:00+09:00,194104.09697301968,198901.72655834662,187407.40567683414,188007.109375,823551
2024-06-21 00:00:00+09:00,187807.21745210342,193504.4028670954,186507.859375,186507.859375,646780
2024-06-24 00:00:00+09:00,185308.44856878088,186507.85600288303,182010.078125,182010.078125,518734
2024-06-25 00:00:00+09:00,182409.8728126743,184608.78634795037,179111.50250976018,179211.453125,463562
2024-06-26 00:00:00+09:00,180210.96803181054,181410.37547295404,176712.69632847534,178311.90625,437439
2024-06-27 00:00:00+09:00,180910.61218398876,184608.78491924156,177912.09375,177912.09375,420147
2024-06-28 00:00:00+09:00,177912.09426229508,185908.14344262297,175113.47704918034,182909.625,558335
2024-07-01 00:00:00+09:00,187407.41565815647,188506.87249668434,182010.0820872016,188406.921875,509498
2024-07-02 00:00:00+09:00,190805.72678082192,190805.72678082192,182409.875,182409.875,384792
2024-07-03 00:00:00+09:00,185408.38812990836,194503.89396269634,185408.38812990836,190905.671875,954589
2024-07-04 00:00:00+09:00,194903.70907738095,196502.91899801587,188606.82001488094,188906.671875,527747
2024-07-05 00:00:00+09:00,189006.6188190426,191705.28550762756,185608.2978037875,190006.125,357510
2024-07-08 00:00:00+09:00,188706.76158106746,201900.2427933031,186907.6505066717,198501.921875,964629
2024-07-09 00:00:00+09:00,198901.7289892931,200900.74134094428,192504.8894640093,193704.296875,508406
2024-07-10 00:00:00+09:00,193404.44661114775,196103.1133080475,189406.421875,189406.421875,402279
2024-07-11 00:00:00+09:00,190905.68427579364,195403.46217757935,188906.671875,188906.671875,547890
2024-07-12 00:00:00+09:00,187407.40870113694,195603.359375,187007.60622924118,195603.359375,575362
2024-07-15 00:00:00+09:00,195603.35802469135,195603.35802469135,188706.76543209876,194304.0,535544
2024-07-16 00:00:00+09:00,192704.79052947598,193104.59299945415,182909.63001501092,183109.53125,551866
2024-07-17 00:00:00+09:00,181410.37486906425,184808.69594099163,178311.90565642458,178911.609375,415403
2024-07-18 00:00:00+09:00,177912.10517288695,186407.90794799672,176912.5989640505,182110.03125,547368
2024-07-19 00:00:00+09:00,181810.17808472938,193904.203125,181610.27684439434,193904.203125,623889
2024-07-22 00:00:00+09:00,192604.83375897296,192604.83375897296,181010.5625,181010.5625,569845
2024-07-23 00:00:00+09:00,182409.88106668997,184208.99222241621,178112.00441689944,178911.609375,393683
