Date,Open,High,Low,Close,Volume
2024-05-07 00:00:00+09:00,76459.84486469865,78092.78125,76267.73470172202,78092.78125,26238868
2024-05-08 00:00:00+09:00,77612.50584255843,78188.83633148832,77324.34059809348,78092.78125,13089576
2024-05-09 00:00:00+09:00,77900.66955183502,78284.88987021644,76555.8984375,76555.8984375,18759935
2024-05-10 00:00:00+09:00,77228.2939157197,77900.67955926452,75787.46753669507,76075.6328125,16976124
2024-05-13 00:00:00+09:00,76267.74627311862,76748.02175342794,74538.7545440051,75307.1953125,18652344
2024-05-14 00:00:00+09:00,75499.29807231801,75691.40824553001,74826.91246607598,75211.1328125,11763992
2024-05-16 00:00:00+09:00,77036.17986732737,77132.23495444373,75019.02303788363,75115.078125,20989778
2024-05-17 00:00:00+09:00,75499.30171996124,75691.41190245478,74154.53044250647,74346.640625,15918201
2024-05-20 00:00:00+09:00,75019.028002218,75979.5789369455,74826.91781527249,75787.46875,19456783
2024-05-21 00:00:00+09:00,75403.25040856186,75883.52588887117,75115.08512037627,75307.1953125,13690583
2024-05-22 00:00:00+09:00,75019.02504625161,75595.35558437902,74250.58432874839,74634.8046875,19521506
2024-05-23 00:00:00+09:00,74634.80229286398,75979.57350534802,74058.47177322797,75211.1328125,18728087
2024-05-24 00:00:00+09:00,73770.30039525691,73962.41055253622,72713.69453022069,72905.8046875,27891278
2024-05-27 00:00:00+09:00,72329.48449643783,75115.08217292746,71080.76829663213,74154.53125,43825202
2024-05-28 00:00:00+09:00,73482.13630597615,74922.96250805412,73193.97106556056,74538.7421875,18539072
2024-05-29 00:00:00+09:00,74634.8070042387,75115.08246758643,72233.4296875,72233.4296875,30244875
2024-05-30 00:00:00+09:00,71849.20837585034,72233.42874149661,70600.4921875,70600.4921875,28551273
2024-05-31 00:00:00+09:00,71561.04310161565,71753.15328443878,70600.4921875,70600.4921875,26198776
2024-06-03 00:00:00+09:00,71464.97927675034,73386.08087021137,71272.86911740423,72713.6953125,15706268
2024-06-04 00:00:00+09:00,71945.2640064741,73097.9251120518,71945.2640064741,72329.484375,14098053
2024-06-05 00:00:00+09:00,74922.97117248063,74922.97117248063,73770.31007751939,74346.640625,23177968
2024-06-07 00:00:00+09:00,75307.1840232859,75499.2941866106,74058.46796167528,74250.578125,21189349
2024-06-10 00:00:00+09:00,73097.91563119221,73578.19102955746,72617.64023282695,72713.6953125,14598755
2024-06-11 00:00:00+09:00,72905.81533618683,73001.87042885637,72137.37459483046,72233.4296875,16971175
2024-06-12 00:00:00+09:00,72329.48728553922,74058.47901348039,72233.4321895425,73482.1484375,19246725
2024-06-13 00:00:00+09:00,75307.1867048346,75883.5172153308,74730.85619433843,75499.296875,33763804
2024-06-14 00:00:00+09:00,76555.90665240264,77324.34737162375,75883.52102308418,76459.8515625,22926612
2024-06-17 00:00:00+09:00,76075.62940140844,76363.79466429257,74922.96834987195,75019.0234375,16123051
2024-06-18 00:00:00+09:00,75595.35495966478,77036.18129307644,75499.29987077067,76651.9609375,18207598
2024-06-19 00:00:00+09:00,77900.67148052648,79245.4426281558,77324.34098868535,77996.7265625,24168863
2024-06-20 00:00:00+09:00,78284.89803538602,78957.28366268383,77996.73276654413,78380.953125,20288913
2024-06-21 00:00:00+09:00,77516.46380859375,77612.51890625,76844.078125,76844.078125,17907523
2024-06-24 00:00:00+09:00,76555.90267330955,77708.56369223015,76363.79250348946,77420.3984375,15454227
2024-06-25 00:00:00+09:00,77420.39764464728,78573.05865176361,76940.12222501547,77612.5078125,19088458
2024-06-26 00:00:00+09:00,76940.12027214022,78188.83633148832,76748.01010916359,78092.78125,17783242
2024-06-27 00:00:00+09:00,78441.09633501839,78730.546875,77669.22822840074,78730.546875,11739720
2024-06-28 00:00:00+09:00,79019.9886982362,79019.9886982362,77958.67016871166,78634.0546875,9455929
2024-07-01 00:00:00+09:00,78634.06507869804,79212.96617130196,78441.09804783008,78923.515625,11317202
2024-07-02 00:00:00+09:00,79598.9002330379,79695.38374847188,78634.06507869804,78923.515625,14471904
2024-07-03 00:00:00+09:00,79405.93320216992,79405.93320216992,78151.64750152812,78923.515625,11440328
2024-07-04 00:00:00+09:00,79984.82725694444,81721.53038194444,79502.40972222222,81625.046875,43857229
2024-07-05 00:00:00+09:00,82589.8879161883,84037.140625,82203.95386050516,84037.140625,45791193
2024-07-08 00:00:00+09:00,84809.00347718822,85484.38803275171,83844.16839781178,84326.5859375,24035809
2024-07-09 00:00:00+09:00,84712.515625,85098.44963695899,83844.16409809225,84712.515625,21336201
2024-07-10 00:00:00+09:00,84519.5486190205,84905.48263097949,84037.13110407176,84712.515625,17813847
2024-07-11 00:00:00+09:00,85387.89838398973,85677.3488869863,83651.19536601027,84519.546875,24677608
2024-07-12 00:00:00+09:00,82879.32274696385,83072.2897382257,81142.61982560722,81432.0703125,26344386
2024-07-15 00:00:00+09:00,81721.54055831891,84230.11205125433,81142.6394445646,83651.2109375,25193080
2024-07-16 00:00:00+09:00,83844.17097527081,84905.48959521095,83651.20395346351,84616.0390625,16166688
2024-07-17 00:00:00+09:00,84037.14501333622,84905.4966839677,83361.76038062284,83651.2109375,18186490
2024-07-18 00:00:00+09:00,80853.18300489068,83844.171875,80853.18300489068,83844.171875,24721790
2024-07-19 00:00:00+09:00,82589.87226007109,83072.2897382257,81142.61982560722,81432.0703125,18569122
2024-07-22 00:00:00+09:00,81432.07368222892,81914.49118034638,79695.37068900603,80081.3046875,18987560
2024-07-23 00:00:00+09:00,81239.12242997615,81721.5400216031,80467.25428337305,80949.671875,15766389
2024-07-24 00:00:00+09:00,79984.83603277439,80370.77010289635,79020.00085746951,79116.484375,16939083
2024-07-25 00:00:00+09:00,77572.7421875,78151.64324860074,77283.29165694963,77572.7421875,20323811
2024-07-26 00:00:00+09:00,77862.19703144314,78441.09812461372,77572.74648485785,78055.1640625,14508334
2024-07-29 00:00:00+09:00,78730.53556034483,79116.46955818965,78248.1180630388,78344.6015625,12797136
2024-07-30 00:00:00+09:00,77572.74733796297,78151.6484375,77186.81327160493,78151.6484375,13169636
2024-07-31 00:00:00+09:00,78344.61688021454,80949.671875,78055.16632523837,80949.671875,20744323
2024-08-01 00:00:00+09:00,82975.81866726835,83072.30217734657,80177.796875,80177.796875,20900338
2024-08-02 00:00:00+09:00,78151.64415829146,78537.5782035176,76704.39148869347,76800.875,25800275
2024-08-05 00:00:00+09:00,74002.85262386205,74195.81964504551,67731.42443539917,68889.2265625,54608790
2024-08-06 00:00:00+09:00,72266.14311422413,72652.07712284483,69757.57205818966,69950.5390625,47295226
2024-08-07 00:00:00+09:00,70432.96006944444,73327.46527777778,70239.99305555555,72073.1796875,32710428
2024-08-08 00:00:00+09:00,70625.92362057221,71301.30813606948,69950.53910507493,70818.890625,28414729
2024-08-09 00:00:00+09:00,73038.01475694444,73134.49826388889,71590.76215277778,72073.1796875,16388222
2024-08-12 00:00:00+09:00,72555.5963576159,73230.98089817881,72169.66233443709,72845.046875,9839259
2024-08-13 00:00:00+09:00,73809.87932202694,73906.36282440867,72845.0442982096,73423.9453125,10716261
2024-08-14 00:00:00+09:00,74678.24046713083,75064.17452639248,74292.30640786917,74485.2734375,13246168
2024-08-16 00:00:00+09:00,76607.91310785536,77379.78125,75932.5284834788,77379.78125,22061478
2024-08-19 00:00:00+09:00,77283.2890625,77283.2890625,75257.13541666667,75546.5859375,14146565
2024-08-20 00:00:00+09:00,76704.38539686312,76993.83590779468,75932.5173677123,76125.484375,10683836
2024-08-21 00:00:00+09:00,75160.65190972222,75836.03645833333,75064.16840277778,75546.5859375,7805598
2024-08-22 00:00:00+09:00,75932.51996527778,76125.48697916667,75064.16840277778,75546.5859375,8149101
2024-08-23 00:00:00+09:00,74967.6875,75643.07207207207,74774.72047940799,74967.6875,9420306
2024-08-26 00:00:00+09:00,75353.61536013469,75450.09886251643,73327.46181011827,73423.9453125,15655938
2024-08-27 00:00:00+09:00,73038.01649076516,73809.8845646438,72941.53298153034,73134.5,11130145
2024-08-28 00:00:00+09:00,73134.49740265052,73713.3984375,72748.56337941754,73713.3984375,9794514
2024-08-29 00:00:00+09:00,71011.85506756757,72073.17355363176,70915.37156883445,71397.7890625,16884479
2024-08-30 00:00:00+09:00,71783.7413358008,72362.64247560565,71494.29076589839,71687.2578125,16358520
2024-09-02 00:00:00+09:00,71880.2178889449,72073.18491683468,70915.38274949597,71783.734375,12641376
2024-09-03 00:00:00+09:00,71494.27509698276,71687.2421012931,69950.5390625,69950.5390625,16314599
2024-09-04 00:00:00+09:00,67345.49390625,68599.77960937501,67345.49390625,67538.4609375,27366563
2024-09-05 00:00:00+09:00,67634.94365942029,68696.26231884057,66573.625,66573.625,25686769
2024-09-06 00:00:00+09:00,66670.09981630987,67249.00082773948,65608.78129535558,66477.1328125,19022299
2024-09-09 00:00:00+09:00,64547.46614583333,65801.75173611111,64258.015625,65126.3671875,23263298
2024-09-10 00:00:00+09:00,64643.946138595165,64933.396643693355,63679.11112160121,63872.078125,30651376
2024-09-11 00:00:00+09:00,62810.76389156394,63196.697924691834,61942.412317026196,62617.796875,35809707
2024-09-12 00:00:00+09:00,63679.115879524885,64258.016932975115,62907.24780825792,63968.56640625,35884106
2024-09-13 00:00:00+09:00,62714.2799519604,63196.69749005241,62038.8953986316,62135.37890625,25045135
2024-09-19 00:00:00+09:00,61749.44928684628,62135.383344889065,60012.74602565372,60881.09765625,49402713
2024-09-20 00:00:00+09:00,61556.47347470238,62424.824981398815,60784.60546875,60784.60546875,32746056
2024-09-23 00:00:00+09:00,60109.225258336664,61267.027349990014,60012.74175069888,60398.67578125,28542376
2024-09-24 00:00:00+09:00,60591.64020470728,61170.54122577136,60205.706190664554,60977.57421875,26957500
2024-09-25 00:00:00+09:00,61556.478320940514,61942.41235430064,60012.7421875,60012.7421875,28652438
2024-09-26 00:00:00+09:00,61652.96008017774,62617.79513620556,61459.99306897218,62424.828125,37566015
2024-09-27 00:00:00+09:00,62775.093117211836,63454.26723130841,62289.96875,62289.96875,28433030
2024-09-30 00:00:00+09:00,62289.960289634146,62386.98514989837,59670.2890625,59670.2890625,32694163
2024-10-02 00:00:00+09:00,58700.04712352161,60058.39532142129,58117.89789585032,59476.24609375,28473536
2024-10-04 00:00:00+09:00,59185.16585447607,59864.3398888717,58700.04154419348,58797.06640625,24247578
2024-10-07 00:00:00+09:00,58408.96904456967,60058.39175845287,57729.79498591188,59185.16796875,35066533
2024-10-08 00:00:00+09:00,58214.92148631841,59185.17017775705,58117.89661717454,58505.99609375,27411786
2024-10-10 00:00:00+09:00,58311.938905984716,58408.963762733445,57147.640625,57147.640625,45262214
2024-10-11 00:00:00+09:00,57341.69635987563,58311.945029247465,57244.67149293845,57535.74609375,29623969
2024-10-14 00:00:00+09:00,57729.795827624366,59379.21856555649,57632.77096068718,57535.74609375,20886249
2024-10-15 00:00:00+09:00,59282.19283427254,59573.26743084016,58311.94417904713,59185.16796875,22715239
2024-10-16 00:00:00+09:00,57632.77200630252,58214.9212184874,57438.722268907564,57729.796875,23303268
2024-10-17 00:00:00+09:00,57632.769158291456,58311.94320561139,57341.69456658291,57923.84375,23372873
2024-10-18 00:00:00+09:00,58117.896741712415,58311.94648041596,57341.69778689822,57438.72265625,14420260
2024-10-21 00:00:00+09:00,57244.67578125,57826.82502648305,56759.551410222455,57244.67578125,18514905
2024-10-22 00:00:00+09:00,57050.62914319758,57147.65402269281,55983.35546875,55983.35546875,27582527
2024-10-23 00:00:00+09:00,55789.30127035744,58214.92306472081,55401.201783259305,57341.69921875,27300780
2024-10-24 00:00:00+09:00,56468.47609319788,56759.55071223499,54916.078125,54916.078125,31499922
2024-10-25 00:00:00+09:00,54333.9272137746,55207.151043995975,54139.877473725406,54236.90234375,25829315
2024-10-28 00:00:00+09:00,54042.852349128654,56759.548697020226,54042.852349128654,56371.44921875,27775009
2024-10-29 00:00:00+09:00,56274.42245176175,57826.8203125,55595.24838768876,57826.8203125,28369314
2024-10-30 00:00:00+09:00,57341.69921875,58020.87332117174,56856.57485987732,57341.69921875,19838511
2024-10-31 00:00:00+09:00,56759.548570787585,59379.22004328547,56565.498832084035,57438.72265625,35809196
2024-11-01 00:00:00+09:00,57244.67014633362,57826.819334262436,56371.446364440395,56565.49609375,19083180
2024-11-04 00:00:00+09:00,56856.57278801107,57632.771733922484,56662.523051533215,56953.59765625,15586947
2024-11-05 00:00:00+09:00,56080.377875434024,56371.45250108506,55498.228624131945,55886.328125,17484474
2024-11-06 00:00:00+09:00,55886.320680628276,56274.420129799306,54624.997470822425,55595.24609375,22092218
2024-11-07 00:00:00+09:00,55207.14664457897,56371.44499209206,55110.121782286216,55595.24609375,17043102
2024-11-08 00:00:00+09:00,56274.42050438596,56565.49509320175,55304.171875,55304.171875,13877396
2024-11-11 00:00:00+09:00,55013.10251420455,55110.12738636364,53363.6796875,53363.6796875,29811326
2024-11-12 00:00:00+09:00,52975.57756485849,52975.57756485849,51423.1796875,51423.1796875,37962881
2024-11-13 00:00:00+09:00,50452.93416501976,51423.18289896245,48997.56106410573,49094.5859375,52527995
2024-11-14 00:00:00+09:00,48706.48476640781,50258.8826872495,48415.41015625,48415.41015625,48510715
2024-11-15 00:00:00+09:00,48803.50889310748,52587.47876752337,48803.50889310748,51908.3046875,46774485
2024-11-18 00:00:00+09:00,55304.17224702381,55789.296564980155,54236.89874751984,55013.09765625,48095234
2024-11-19 00:00:00+09:00,54819.05365369672,55789.30239093029,54236.904411356576,54625.00390625,31539632
2024-11-20 00:00:00+09:00,54430.952877768985,54819.05236352848,53169.62954905063,53654.75390625,20864667
2024-11-21 00:00:00+09:00,53266.6504737367,55207.14775875443,53072.60074523493,54722.0234375,19096850
2024-11-22 00:00:00+09:00,54333.92578125,55013.099853515625,54236.90091378349,54333.92578125,15281543
2024-11-25 00:00:00+09:00,55692.27797117876,56177.40234375,55013.10384957901,56177.40234375,36237325
2024-11-26 00:00:00+09:00,56177.39663513079,57147.645281678815,55789.29717651158,56565.49609375,23209405
2024-11-27 00:00:00+09:00,55983.352138377,56080.377012100354,54333.92928507993,54625.00390625,21808387
2024-11-28 00:00:00+09:00,54333.92511261261,54722.0245777027,53557.72618243243,53848.80078125,20001134
2024-11-29 00:00:00+09:00,53460.70431417205,53654.75405759917,52199.38098189576,52587.48046875,24513531
2024-12-02 00:00:00+09:00,52684.50218633396,52781.5270522388,51520.20379547575,52005.328125,22044867
