Date,Open,High,Low,Close,Volume
2024-05-07 00:00:00-04:00,122.34022085167443,123.19265712297467,121.94677113415325,122.02171325683594,3263600
2024-05-08 00:00:00-04:00,121.09433879051356,122.86480540178998,120.77583118534436,121.6189193725586,2805300
2024-05-09 00:00:00-04:00,121.94677810413752,122.77112720701513,121.5346178464479,122.30274963378906,3663100
2024-05-10 00:00:00-04:00,122.53695254499252,123.24889568635987,121.58145818322365,121.87186431884766,2821100
2024-05-13 00:00:00-04:00,122.21843740468128,122.38704645942529,121.15989958184964,121.21610260009766,3006000
2024-05-14 00:00:00-04:00,121.24421691894531,121.94678330876961,120.5603896350996,121.24421691894531,2342300
2024-05-15 00:00:00-04:00,120.84142330499068,121.24422118834052,118.53700632284611,120.92572784423828,2561400
2024-05-16 00:00:00-04:00,120.63532188013083,121.43156944085194,119.80161040427221,119.8297119140625,2615400
2024-05-17 00:00:00-04:00,120.63533017208147,122.02172382744193,119.99834351471976,121.72196960449219,2340100
2024-05-20 00:00:00-04:00,121.99361324725558,122.32148325130439,120.98191601922478,121.64701843261719,1933600
2024-05-21 00:00:00-04:00,121.25358985931342,122.10604048303642,120.58848740831817,120.74773406982422,2211000
2024-05-22 00:00:00-04:00,120.32619427826323,120.32619427826323,117.6751826768186,118.07798767089844,3617600
2024-05-23 00:00:00-04:00,118.64940038415477,119.24892305613089,116.04521529084566,116.18572998046875,3373600
2024-05-24 00:00:00-04:00,116.74778048234303,117.63770207691412,115.2021403518031,115.47379302978516,3730900
2024-05-28 00:00:00-04:00,116.06395545877123,118.124813769228,115.83913624143709,117.890625,3800000
2024-05-29 00:00:00-04:00,118.0030438414521,118.03114535160734,113.51598595022242,114.20918273925781,5506300
2024-05-30 00:00:00-04:00,114.2091872585806,115.44570378246165,113.70333861514635,114.51831817626953,3004400
2024-05-31 00:00:00-04:00,114.78997179425727,116.85083017314906,114.78997179425727,116.6728515625,4082400
2024-06-03 00:00:00-04:00,116.34498840290225,116.53234372365453,110.91181274483077,112.0733871459961,3239500
2024-06-04 00:00:00-04:00,110.9586490113496,112.44809347465117,109.97506035339093,112.22327423095703,4499200
2024-06-05 00:00:00-04:00,112.29819904860786,112.73847509002313,111.47385713176867,112.70100402832031,3406600
2024-06-06 00:00:00-04:00,112.69165437751316,113.61904003227822,112.03592144380929,113.54409790039062,3399700
2024-06-07 00:00:00-04:00,113.3473771996955,114.36843691917629,112.45746263415033,112.58860778808594,2494300
2024-06-10 00:00:00-04:00,112.97268447147326,114.5370640618153,112.17644391896013,113.90007019042969,1717500
2024-06-11 00:00:00-04:00,113.05697692037245,114.33096444631403,112.21389588895902,114.31222534179688,2063500
2024-06-12 00:00:00-04:00,115.3145562540651,115.4363389962114,112.55113145102655,113.28179931640625,2129600
